score,feature
score_0,K05396
score_0,K16203
score_0,K00346
score_0,K06909
score_0,K09702
score_0,K03666
score_0,K07719
score_0,K02041
score_0,K04784
score_0,K01839
score_0,K00102
score_0,K20974
score_0,K00603
score_0,K00437
score_0,K17215
score_0,K00046
score_0,K21947
score_0,K01813
score_0,K02075
score_0,K03299
score_0,K04561
score_0,K19956
score_0,K03760
score_0,K08153
score_0,K13587
score_0,K07442
score_0,K06331
score_0,K01439
score_0,K02426
score_0,K02025
score_0,K03405
score_0,K03582
score_0,K00931
score_0,K02574
score_0,K00986
score_0,K10823
score_0,K02554
score_0,K01921
score_0,K13643
score_0,K05801
score_0,K02168
score_0,K11755
score_0,K07406
score_0,K03437
score_0,K02018
score_0,K02182
score_0,K11743
score_0,K17734
score_0,K05352
score_0,K22212
score_0,K01428
score_0,K20814
score_0,K07031
score_0,K01474
score_0,K15580
score_0,K15770
score_0,K06446
score_0,K10819
score_0,K01520
score_0,K02935
score_0,K02420
score_0,K00981
score_0,K00057
score_0,K05366
score_0,K02171
score_0,K19167
score_0,K05988
score_0,K02110
score_0,K22132
score_0,K00604
score_0,K02970
score_0,K19165
score_0,K02440
score_0,K02242
score_0,K01182
score_0,K22723
score_0,K11708
score_0,K13599
score_0,K22044
score_0,K00281
score_0,K02443
score_0,K12240
score_0,K15738
score_0,K02916
score_0,K06608
score_0,K08159
score_0,K21573
score_0,K06610
score_0,K05811
score_0,K17733
score_0,K02483
score_0,K18918
score_0,K09139
score_0,K01224
score_0,K01008
score_0,K11381
score_0,K10547
score_0,K02520
score_0,K03547
score_0,K10012
score_0,K01181
score_0,K01668
score_0,K21467
score_0,K12982
score_0,K06001
score_0,K23398
score_0,K00633
score_0,K03224
score_0,K22373
score_0,K00970
score_0,K05873
score_0,K02968
score_0,K01575
score_0,K00854
score_0,K23259
score_0,K20492
score_0,K16139
score_0,K15975
score_0,K00381
score_0,K02594
score_0,K15581
score_0,K00571
score_0,K05816
score_0,K02390
score_0,K06181
score_0,K04045
score_0,K01758
score_0,K18816
score_0,K02133
score_0,K07309
score_0,K02946
score_0,K06915
score_0,K07321
score_0,K01677
score_0,K03826
score_0,K02525
score_0,K13584
score_0,K00983
score_0,K11071
score_0,K16924
score_0,K14761
score_0,K01834
score_0,K02243
score_0,K10037
score_0,K10682
score_0,K03972
score_0,K00954
score_0,K01308
score_0,K01451
score_0,K01736
score_0,K19508
score_0,K12296
score_0,K01995
score_0,K01265
score_0,K12511
score_0,K03227
score_0,K07705
score_0,K00800
score_0,K21563
score_0,K19309
score_0,K14153
score_0,K02015
score_0,K02005
score_0,K02838
score_0,K19159
score_0,K15773
score_0,K09951
score_0,K00283
score_0,K01270
score_0,K06952
score_0,K19123
score_0,K01657
score_0,K11070
score_0,K00928
score_0,K20342
score_0,K18704
score_0,K20415
score_0,K10213
score_0,K01089
score_0,K21749
score_0,K18893
score_0,K02237
score_0,K20491
score_0,K02004
score_0,K05822
score_0,K06942
score_0,K14205
score_0,K02986
score_0,K08680
score_0,K01915
score_0,K03147
score_0,K16959
score_0,K01727
score_0,K19509
score_0,K17899
score_0,K03799
score_0,K11720
score_0,K18672
score_0,K12295
score_0,K00853
score_0,K22958
score_0,K02598
score_0,K07717
score_0,K02026
score_0,K03652
