feature,importance_sum,importance_mean,freq_top20,weighted_score,dataset,selected
viable total CD8+ d6,0.0335066980771052,0.0027922248397587667,2.0,0.036810870260199885,immune,False
% CD4+ M CCR4- CXCR3+ d0,0.033220399969879404,0.002768366664156617,2.0,0.03649633964137921,immune,False
% CD8+ total INFg+ d6,0.0329756781286235,0.0027479731773852917,2.0,0.03622748521926999,immune,False
% CD19+ CD3- d0,0.032459035137480406,0.0027049195947900337,2.0,0.03565989488034593,immune,False
% CD4+ IL-17+ IL-22- d6,0.031680906343295706,0.0026400755286079755,2.0,0.034805033024888125,immune,False
% pDcs d0,0.0315889061660848,0.0026324088471737332,2.0,0.03470396049964458,immune,False
% CD4+ RO+ INFg+ GzA+ d1,0.031388267056327204,0.0026156889213606004,2.0,0.034483535908077456,immune,False
% CD4+ CD161+ Va7.2- d6,0.031210844849774603,0.002600903737481217,2.0,0.034288617691676154,immune,False
% CD4+ RO+ INFg+ IL4- d1,0.0306347013937454,0.0025528917828121166,2.0,0.033655659410846764,immune,False
% CD8+ INFg+ GzA+ d1,0.030564049907086097,0.0025470041589238414,2.0,0.03357804081939018,immune,False
% CD4+ RO+ CCR6+ CD161+ total IL-17+ d6,0.0303678573833837,0.002530654781948642,2.0,0.03336250130190592,immune,False
% CD8+ RO+ Va7.2- INFg- TNFa+ d6,0.030279700677051803,0.002523308389754317,2.0,0.033265651261001186,immune,False
% CD8+ M CCR4+ CXCR3+ d0,0.0302264917586171,0.0025188743132180916,2.0,0.03320719528934209,immune,False
% CD8+ RO+ CD31- CD27+ d0,0.0302160038442024,0.0025180003203502,2.0,0.033195673137683596,immune,False
% CD8+ RO- CCR6- INFg+ TNFa- d1,0.0298707813121304,0.002489231776010867,2.0,0.03281640742162418,immune,False
% CD4+ CCR7+ RO- CCR4+ d0,0.029475623587536703,0.0024563019656280586,2.0,0.032382282289423414,immune,False
% CD4+ RO+ total INFg+ d1 P13,0.028760933378378598,0.0023967444481982165,2.0,0.031597114843051534,immune,False
% CD4+ RO+ CD161+ IL-17+ INFg+ d6,0.0287506628456213,0.0023958885704684417,2.0,0.0315858315095532,immune,False
% CD8+ INFg+ TNFa+ d1 P8,0.028508042986276405,0.0023756702488563672,2.0,0.03131928635060197,immune,False
NK % CD56hi CD16-,0.028178853716223702,0.0023482378096853084,2.0,0.030957634973224384,immune,False
% CD4+ RO+ d0,0.027772507950558196,0.0023143756625465164,2.0,0.03051121852161601,immune,False
% CD4+ IL-17+ IL-22+ d6,0.027737130160069602,0.0023114275133391334,2.0,0.030472352046239312,immune,False
% CD8+ MAIT IL-17+ INFg+ d6,0.0272947489182368,0.002274562409853067,2.0,0.02998634657768554,immune,False
% CD8+ RO- Va7.2- INFg- TNFa+ d6,0.0262794466232737,0.0021899538852728083,2.0,0.028870922999726146,immune,False
% CD8+ M total CCR4+ d0,0.0414791301224041,0.003456594176867008,1.0,0.028751142096423498,immune,False
%CD8+ MAIT d6,0.025913326643289703,0.0021594438869408086,2.0,0.0284686990905888,immune,False
% CD4+ RO+ CCR6+ INFg+ IL4- d1,0.0396286248590239,0.0033023854049186586,1.0,0.027468469590500175,immune,False
% CD8+ MAIT INFg+ TNFa- d6,0.039032994815623896,0.003252749567968658,1.0,0.027055610305260665,immune,False
% CD4+ RO+ CCR6+ CD161+ IL-17- INFg+ d6,0.0377415606152921,0.003145130051274342,1.0,0.026160456330421994,immune,False
% CD8+ M CCR7+ CXCR5- d0,0.023521138991803303,0.0019600949159836087,2.0,0.02584061233986574,immune,False
% CD4+ M CD25+ CD27+ d0,0.0369880501907586,0.00308233751589655,1.0,0.02563816270413407,immune,False
% CD8+ RO- CD27+ d0,0.036617311351763396,0.00305144261264695,1.0,0.02538118612316048,immune,False
% CD4+ RO+ IL-22- IL-17+ d1,0.0363025087358719,0.0030252090613226584,1.0,0.025162981577522392,immune,False
% CD3- CD19- CD14+ CD16+,0.035244729000638,0.0029370607500531667,1.0,0.024429784536391566,immune,False
% CD4+ RO+ INFg- GzA+ d1,0.035188626484281595,0.0029323855403567997,1.0,0.02439089723535681,immune,False
% CD4+ RO+ CCR6+ d6,0.0348445985057504,0.0029037165421458666,1.0,0.02415243521200417,immune,False
% CD4+ RO+ INFg- GMCSF+ d1,0.03484015126689,0.0029033459389075002,1.0,0.024149352620926812,immune,False
total % CD3 d0,0.0344800451092495,0.0028733370924374584,1.0,0.02389974605305602,immune,False
%CD4+ MAIT d0,0.034236017501014,0.0028530014584178336,1.0,0.0237305990044288,immune,False
% CD8+ IL-17- INFg+ d6,0.033121002424876,0.0027600835354063334,1.0,0.02295772944812191,immune,False
% CD8+ MAIT total Granzyme+ d1,0.033074103294232,0.0027561752745193335,1.0,0.02292522144794531,immune,False
CD8+ % RO+ CD27- d0,0.0328211118463716,0.0027350926538642997,1.0,0.022749861139155093,immune,False
% CD8+ RO+ CCR6- INFg+ TNFa- d1,0.032413745500855996,0.0027011454584046665,1.0,0.022467496305305944,immune,False
% CD8+ INFg+ GzA- d1,0.0323608796427387,0.0026967399702282247,1.0,0.02243085248480406,immune,False
% CD8+ MAIT INFg- GzA+ d1,0.0322913276340649,0.002690943969505408,1.0,0.022382642706089535,immune,False
% CD4+ M CCR6- CXCR3+ d0,0.0320319967202089,0.0026693330600174084,1.0,0.022202888214318213,immune,False
% CD8+ INFg+ TNFa- d1 P13,0.0313584617019842,0.0026132051418320166,1.0,0.02173602931542737,immune,False
% CD8+ nonMAIT INFg+ GzA+ d1,0.030375347804507,0.0025312789837089165,1.0,0.02105458668922175,immune,False
% CD4+ RO+ CD161- IL-17- INFg+ d6,0.0298176978572059,0.0024848081547671585,1.0,0.020668053200510593,immune,False
% CD8+ M CCR7+ CXCR5+ d0,0.0296021978594633,0.0024668498216219416,1.0,0.020518679984664633,immune,False
% CD4+ MAIT d6,0.029567784682271003,0.002463982056855917,1.0,0.020494826587919682,immune,False
CD8+ MAIT % RO- CD27- d0,0.029428439019910196,0.0024523699183258496,1.0,0.020398239534931032,immune,False
% CD8+ M CCR7- CXCR5+ d0,0.029385089127449898,0.0024487574272874916,1.0,0.0203681916791946,immune,False
% CD4+ RO+ total TNFa+ d1,0.0290775953380474,0.002423132944837283,1.0,0.020155053226030565,immune,False
total % CD8+ d6,0.0290522611795257,0.002421021764960475,1.0,0.020137492925479387,immune,False
% CD3- CD19- DR+ CD14+ d0,0.0287289340458904,0.0023940778371575335,1.0,0.019913379634401554,immune,False
% CD8+ MAIT IL-17+ INFg- d6,0.0286516402272005,0.002387636685600042,1.0,0.019859803641901937,immune,False
% CD8+ RO- CCR6- IL4+ GMCSF+ d1,0.0285685606055233,0.0023807133837936085,1.0,0.0198022172363744,immune,False
% CD8+ RO+ CD27+ d0,0.028231375780568998,0.00235261464838075,1.0,0.019568498525629724,immune,False
% CD8+ RO- CCR7+ d0,0.0277937799946239,0.0023161483328853253,1.0,0.019265180240376968,immune,False
CD8+ DN+ MAIT % RO- CD27- d0,0.0277450014224938,0.002312083451874483,1.0,0.01923136951063325,immune,False
% CD8+ IL-17+ INFg- d6,0.027114428778751004,0.0022595357315625835,1.0,0.0187942898604847,immune,False
% CD4+ M total CCR4+ d0,0.0266320956912815,0.0022193413076067917,1.0,0.01845996204081444,immune,False
% CD4+ IL-17- IL-22+ d6,0.0265898066852584,0.002215817223771533,1.0,0.018430649535520843,immune,False
% CD4+ CCR7+ RO- CXCR5+ d0,0.026453122137334795,0.0022044268447778998,1.0,0.018335907026501487,immune,False
% CD8+ MAIT d1,0.026321906483957602,0.002193492206996467,1.0,0.018244955266317756,immune,False
% CD4+ RO+ CCR7- d0,0.026184951574450697,0.0021820792978708915,1.0,0.0181500253569292,immune,False
