score,feature
score_0,myristoyl dihydrosphingomyelin (d18:0/14:0)*
score_0,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*
score_0,palmitoylcholine
score_0,perfluorooctanesulfonate (PFOS)
score_0,lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*
score_0,"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*"
score_0,"sphingomyelin (d18:1/19:0, d19:1/18:0)*"
score_0,sphingomyelin (d18:2/24:2)*
score_0,"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*"
score_0,"sphingomyelin (d17:2/16:0, d18:2/15:0)*"
score_0,"N,N,N-trimethyl-5-aminovalerate"
score_0,(N(1) + N(8))-acetylspermidine
score_0,3-hydroxyoleoylcarnitine
score_0,lyxonate
score_0,octadecenedioate (C18:1-DC)
score_0,N-acetyl-2-aminooctanoate*
score_0,perfluorooctanoate (PFOA)
score_0,"sphingomyelin (d17:1/14:0, d16:1/15:0)*"
score_0,3-amino-2-piperidone
score_0,11beta-hydroxyandrosterone glucuronide
score_0,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"
score_0,hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**
score_0,X-07765
score_0,X-11880
score_0,X-12100
score_0,X-14939
score_0,X-17676
score_0,X-18899
score_0,X-21319
score_0,X-21467
score_0,X-23639
score_0,X-23680
score_0,X-24295
score_0,X-24309
score_0,X-24951
score_1,vanillylmandelate (VMA)
score_1,X-11795
score_1,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
score_1,homostachydrine*
score_1,imidazole lactate
score_1,N4-acetylcytidine
score_1,glycodeoxycholate 3-sulfate
score_1,glycochenodeoxycholate glucuronide (1)
score_1,mannitol/sorbitol
score_1,catechol sulfate
score_1,2-aminoheptanoate
score_1,10-undecenoate (11:1n1)
score_1,cytidine
score_1,N-palmitoyl-sphingadienine (d18:2/16:0)*
score_1,androsterone glucuronide
score_1,tryptophan betaine
score_1,N-palmitoyl-sphingosine (d18:1/16:0)
score_1,salicylate
score_1,pseudouridine
score_1,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
score_1,glucuronate
score_1,palmitoyl dihydrosphingomyelin (d18:0/16:0)*
score_1,tyrosine
score_1,deoxycarnitine
score_1,ascorbic acid 2-sulfate
score_1,3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
score_1,hippurate
score_1,maleate
score_1,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
score_1,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
score_1,pantothenate
score_1,1-linolenoyl-GPC (18:3)*
score_1,guaiacol sulfate
score_1,cholesterol
score_1,ribonate
score_1,X-25810
score_1,2-ketocaprylate
